Rk,Player,,,Team,Conf,Role,Min%,PRPG!,D-PRPG,BPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,FTA,FT %,2PA,2P %,3P/100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Sr,8-Jun,Gytis Nemeiksa,Hawaii,BW,Stretch 4,57.6,2.8,2.1,4.6,117.6,105.1,24.9,55.3,60.5,8,20.5,10.4,13.6,2.3,1.3,49.2,92-117,0.786,88-146,0.603,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Sr,4-Jun,PJ Fuller II,Cal St. Northridge,BW,Combo G,59.5,0.6,2.1,-2.5,97.8,107.5,20.6,47.6,51.5,2.4,8.9,19.7,24.4,1.2,1.9,25.7,47-59,0.797,63-121,0.521,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Sr,10-Jun,Tanner Christensen,Hawaii,BW,PF/C,62.1,2.5,2.2,1.8,115.9,106.4,22.5,62.1,64.9,12.9,20.4,10.4,20.2,3,0.5,72,91-131,0.695,104-169,0.615,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Sr,5-Jun,Devin Askew,Long Beach St.,BW,Scoring PG,90.4,3,2.3,0.6,100.9,113.2,31.3,46.4,53.1,0.8,14.6,30.5,20,0.3,2.5,35,144-162,0.889,119-291,0.409,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,So,4-Jun,Justin Rochelin,UC San Diego,BW,Wing G,48.6,0.8,2.4,-1.1,107.9,96.3,16.4,56.7,57.8,4.3,16.6,6.6,15.9,1.9,2,18.3,20-30,0.667,42-69,0.609,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Jr,4-Jun,Scotty Washington,Cal St. Northridge,BW,Wing G,73.9,2.2,2.5,0.2,109.9,107.7,22.1,50.6,55.9,1.9,10.3,8.3,14.9,1.1,1.7,32.9,102-119,0.857,105-221,0.475,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Sr,6-Jun,Mahmoud Fofana,Cal St. Northridge,BW,Wing G,65.9,1.5,2.5,0.9,117,104.4,14.2,57.4,61.5,8,13.8,6.2,17.5,1.8,2.3,73.2,76-109,0.697,84-144,0.583,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,So,8-Jun,Marcus Adams Jr.,Cal St. Northridge,BW,Wing F,70.7,3,2.6,4.3,118.9,106.3,21.7,60.2,61.3,5.9,13.1,9.9,14.1,1.5,1.9,16.8,44-61,0.721,132-216,0.611,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,So,6-Jun,Jason Fontenet II,UC Santa Barbara,BW,Wing G,75.7,1.8,2.7,-0.3,108.5,106.1,19.8,48.4,54.2,4.5,18.8,17.4,17.3,1,1.8,41.4,82-103,0.796,74-149,0.497,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Sr,2-Jun,Leo DeBruhl,UC Davis,BW,Scoring PG,73.1,0.3,2.7,-2.1,94.4,104.7,20,44,50.1,3.5,11.8,22.7,23.9,0.5,2.7,32.3,62-73,0.849,41-117,0.35,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
